id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
1;380;36;43.052.631.578.947.300;60.0;10/07/2025;19/10/2009;24.151.140.518.892.500
2;426;37;439.906.103.286.385;60.0;10/07/2025;19/10/2009;27.074.699.634.337.400
3;461;43;4.303.687.635.574.830;60.0;10/07/2025;19/10/2009;29.299.146.787.393.300
4;592;56;4.043.918.918.918.910;52.0;18/07/2025;19/10/2009;3.757.259.607.024.860
5;510;49;4.350.980.392.156.860;52.0;18/07/2025;19/10/2009;3.236.828.377.673.440
6;396;36;4.252.525.252.525.250;60.0;10/07/2025;19/10/2009;25.168.030.646.003.800
7;4551;270;6.664.249.615.469.120;3.0;05/09/2025;18/03/2009;2.761.620.947.630.920
8;4758;273;6.461.328.289.197.140;3.0;05/09/2025;18/03/2009;28.872.319.201.995.000
9;550;45;36.545.454.545.454.500;28.0;11/08/2025;19/10/2009;3.476.190.476.190.470
10;0;0;0.0;;;;0.0
11;505;31;28.257.425.742.574.200;60.0;10/07/2025;19/10/2009;3.209.559.463.694.930
12;379;35;4.242.744.063.324.530;60.0;10/07/2025;19/10/2009;2.408.758.488.594.810
13;413;37;4.292.978.208.232.440;60.0;10/07/2025;19/10/2009;26.248.476.406.059.500
14;127;19;4.425.196.850.393.700;131.0;30/04/2025;23/03/2016;13.941.353.383.458.600
15;75;10;4.56;181.0;10/03/2025;03/06/2019;12.986.242.884.250.400
16;555;40;29.405.405.405.405.400;52.0;18/07/2025;18/01/2011;38.257.790.368.271.900
17;505;36;30.772.277.227.722.700;52.0;18/07/2025;02/05/2012;382.020.725.388.601
18;181;23;43.535.911.602.209.900;111.0;19/05/2025;10/03/2016;1.967.391.304.347.820
19;4687;267;641.689.780.243.226;3.0;05/09/2025;18/03/2009;28.441.479.634.247.700
20;4268;259;65.930.178.069.353.300;3.0;05/09/2025;18/03/2009;25.898.919.368.246.000
21;0;0;0.0;;;;0.0
22;0;0;0.0;;;;0.0
23;912;94;4.421.052.631.578.940;2.0;05/09/2025;25/08/2011;6.493.952.399.531.790
24;623;44;33.820.224.719.101.100;60.0;10/07/2025;19/10/2009;3.959.515.932.439.490
25;482;43;37.946.058.091.286.300;60.0;10/07/2025;19/10/2009;3.063.381.507.922.680
26;390;35;4.133.333.333.333.330;60.0;10/07/2025;19/10/2009;24.786.696.848.337.100
27;82;14;4.365.853.658.536.580;131.0;30/04/2025;23/03/2016;9.001.503.759.398.490
28;0;0;0.0;;;;0.0
29;229;24;37.161.572.052.401.700;111.0;19/05/2025;10/03/2016;2.489.130.434.782.600
30;4099;242;6.529.397.414.003.410;3.0;05/09/2025;18/03/2009;24.873.399.833.748.900
31;4652;262;6.205.717.970.765.260;3.0;05/09/2025;18/03/2009;28.229.093.931.837.000
32;0;0;0.0;;;;0.0
33;0;0;0.0;;;;0.0
34;0;0;0.0;;;;0.0
35;819;32;17.179.487.179.487.100;61.0;08/07/2025;14/04/2012;61.852.886.405.959.000
36;502;26;22.928.286.852.589.600;107.0;23/05/2025;06/01/2012;37.493.349.703.294.400
37;502;40;39.681.274.900.398.400;104.0;27/05/2025;25/08/2011;36.470.939.490.445.800
38;1509;145;45.546.719.681.908.500;2.0;05/09/2025;25/08/2011;10.744.927.818.962.100
39;1527;149;4.681.074.001.309.750;2.0;05/09/2025;25/08/2011;10.873.097.932.110.800
40;852;76;4.465.962.441.314.550;27.0;11/08/2025;19/10/2009;53.849.350.649.350.600
41;0;0;0.0;;;;0.0
42;467;53;37.237.687.366.167.000;59.0;11/07/2025;19/10/2009;29.675.313.370.473.500
43;561;54;31.889.483.065.953.600;104.0;27/05/2025;19/10/2009;35.929.987.717.143.300
44;1187;48;20.008.424.599.831.500;104.0;27/05/2025;19/10/2009;760.229.864.888.577
45;1718;120;5.137.369.033.760.180;2.0;05/09/2025;19/10/2009;10.811.551.724.137.900
46;604;55;3.589.403.973.509.930;104.0;27/05/2025;19/10/2009;3.868.397.964.555.180
47;1098;45;17.377.049.180.327.800;111.0;19/05/2025;06/10/2011;8.055.678.391.959.790
48;301;35;34.584.717.607.973.400;111.0;19/05/2025;02/05/2012;23.051.825.430.130.000
49;1287;34;18.655.788.655.788.600;111.0;19/05/2025;02/05/2012;985.637.851.447.755
50;4919;247;5.897.540.150.437.080;3.0;05/09/2025;18/03/2009;2.984.929.343.308.390
51;4450;249;6.392.359.550.561.790;3.0;05/09/2025;18/03/2009;2.700.332.502.078.130
52;0;0;0.0;;;;0.0
53;5048;140;3.998.811.410.459.580;10.0;29/08/2025;06/10/2011;3.629.866.036.249.010
54;4887;129;36.707.591.569.470.000;6.0;02/09/2025;29/04/2012;36.589.846.153.846.100
55;5063;174;39.488.445.585.621.100;10.0;29/08/2025;28/04/2012;3.793.093.185.550.080
56;4602;131;3.283.137.766.188.610;6.0;02/09/2025;28/04/2012;3.444.893.355.209.180
57;4479;106;3.089.752.176.825.180;10.0;29/08/2025;14/04/2012;3.346.642.784.032.750
58;0;0;0.0;;;;0.0
