id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
0;1218;42;3.586.206.896.551.720;5.0;07/09/2025;15/06/2014;10.835.242.505.483.700
1;115;8;15.304.347.826.086.900;5.0;07/09/2025;16/07/2018;160.823.754.789.272
2;1231;41;35.970.755.483.346.800;5.0;07/09/2025;16/07/2018;17.215.134.099.616.800
3;112;8;16.339.285.714.285.700;5.0;07/09/2025;16/07/2018;15.662.835.249.042.100
4;234;24;51.581.196.581.196.500;11.0;01/09/2025;07/02/2015;2.212.694.300.518.130
5;314;29;46.528.662.420.382.100;11.0;01/09/2025;07/02/2015;29.691.709.844.559.500
6;1387;58;3.966.113.914.924.290;5.0;07/09/2025;07/02/2015;13.095.059.493.016.000
7;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
8;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
9;206;20;5.058.252.427.184.460;11.0;01/09/2025;07/02/2015;19.479.274.611.398.900
10;1096;41;3.802.919.708.029.190;5.0;07/09/2025;14/06/2014;974.756.335.282.651
11;0;0;0.0;;;;0.0
12;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
13;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
14;209;22;5.100.478.468.899.520;11.0;01/09/2025;07/02/2015;1.976.295.336.787.560
15;1095;40;3.804.566.210.045.660;5.0;07/09/2025;16/07/2018;15.313.218.390.804.500
16;0;0;0.0;;;;0.0
17;0;0;0.0;;;;0.0
18;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
19;297;33;4.602.693.602.693.600;11.0;01/09/2025;28/04/2013;2.403.658.536.585.360
20;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
21;209;22;5.100.478.468.899.520;11.0;01/09/2025;07/02/2015;1.976.295.336.787.560
22;1097;41;3.812.215.132.178.660;5.0;07/09/2025;16/07/2018;153.411.877.394.636
23;0;0;0.0;;;;0.0
24;0;0;0.0;;;;0.0
25;0;0;0.0;;;;0.0
26;4;3;7.0;12.0;31/08/2025;28/04/2013;0.3237968507429585
27;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
28;292;29;4.571.917.808.219.170;11.0;01/09/2025;07/02/2015;2.761.139.896.373.050
29;293;30;4.563.139.931.740.610;11.0;01/09/2025;28/04/2013;23.712.860.310.421.200
30;302;31;46.490.066.225.165.500;11.0;01/09/2025;28/04/2013;2.444.124.168.514.410
31;1306;54;3.992.343.032.159.260;5.0;07/09/2025;07/02/2015;12.330.315.571.650.200
32;1097;41;3.812.215.132.178.660;5.0;07/09/2025;16/07/2018;153.411.877.394.636
33;3;2;8.0;12.0;31/08/2025;03/08/2021;0.735392881128274
34;1;1;1.0;4708.0;22/10/2012;22/10/2012;365.0
35;0;0;0.0;;;;0.0
36;5;3;6.0;12.0;31/08/2025;28/04/2013;0.4047460634286982
37;2;1;2.0;4520.0;28/04/2013;28/04/2013;730.0
38;2;1;2.0;4520.0;28/04/2013;28/04/2013;730.0
39;3;1;2.0;4520.0;28/04/2013;28/04/2013;1095.0
40;7;4;6.428.571.428.571.420;12.0;31/08/2025;28/04/2013;0.5666444888001774
41;1430;81;4.070.629.370.629.370;5.0;07/09/2025;28/03/2011;9.891.036.573.810.870
42;1536;90;35.872.395.833.333.300;5.0;07/09/2025;21/11/2009;971.814.872.594.904
43;1130;52;38.460.176.991.150.400;5.0;07/09/2025;16/07/2018;15.802.681.992.337.100
44;3;2;8.0;12.0;31/08/2025;03/08/2021;0.735392881128274
45;0;0;0.0;;;;0.0
